10248;"MAHEN";5;14/6/2019 00:00:00
10249;"DIGOM";6;15/6/2019 00:00:00
10250;"DAMIC";4;18/6/2019 00:00:00
10251;"JAHEN";3;18/6/2019 00:00:00
10252;"MIGAL";4;19/6/2019 00:00:00
10253;"DAMIC";3;20/6/2019 00:00:00
10254;"SYLEJ";5;21/6/2019 00:00:00
10255;"ERDUR";9;23/6/2019 00:00:00
10256;"YAKAL";3;25/6/2019 00:00:00
10257;"NAROU";4;26/6/2019 00:00:00
10258;"CHLEC";1;27/6/2019 00:00:00
10259;"JELAZ";4;28/6/2019 00:00:00
10260;"OLLHE";4;29/6/2019 00:00:00
10261;"BEAVI";4;29/6/2019 00:00:00
10262;"ALCLE";10;2/6/2019 00:00:00
10263;"CHLEC";9;4/6/2019 00:00:00
10264;"REDAN";6;3/6/2019 00:00:00
10265;"JEBOR";10;4/6/2019 00:00:00
10266;"CLJAN";3;5/6/2019 00:00:00
10267;"ERDEB";4;8/6/2019 00:00:00
10268;"THLOP";12;9/6/2019 00:00:00
10269;"CHLAB";5;10/6/2019 00:00:00
10270;"CLJAN";1;11/6/2019 00:00:00
10271;"PHFRO";6;11/6/2019 00:00:00
10272;"ALCLE";6;12/6/2019 00:00:00
10273;"ARBLA";3;15/6/2019 00:00:00
10274;"MAHEN";6;16/6/2019 00:00:00
10275;"NISCH";1;17/6/2019 00:00:00
10276;"CHGRA";11;18/6/2019 00:00:00
10277;"CECHA";10;19/6/2019 00:00:00
10278;"JEHOU";9;22/6/2019 00:00:00
10279;"ANLER";7;23/6/2019 00:00:00
10280;"JEHOU";6;24/6/2019 00:00:00
10281;"LODUR";4;24/6/2019 00:00:00
10282;"LODUR";4;25/6/2019 00:00:00
10283;"JEMAN";3;26/6/2019 00:00:00
10284;"ANLER";4;29/6/2019 00:00:00
10285;"ARBLA";1;30/6/2019 00:00:00
10286;"ARBLA";5;30/6/2019 00:00:00
10287;"CHDUD";4;2/6/2019 00:00:00
10288;"DACOU";4;2/6/2019 00:00:00
10289;"SYBEL";7;5/6/2019 00:00:00
10290;"PAMAR";3;6/6/2019 00:00:00
10291;"BEAVI";6;6/6/2019 00:00:00
10292;"CEGRO";1;7/6/2019 00:00:00
10293;"CHGRA";1;8/6/2019 00:00:00
10294;"ALCLE";4;9/6/2019 00:00:00
10295;"MAHEN";1;12/6/2019 00:00:00
10296;"JEMAN";6;13/6/2019 00:00:00
10297;"JEBOR";5;14/6/2019 00:00:00
10298;"ERSWE";6;15/6/2019 00:00:00
10299;"CHDUD";4;16/6/2019 00:00:00
10300;"NISCH";12;19/6/2019 00:00:00
10301;"PAJAL";11;19/6/2019 00:00:00
10302;"MIGAL";4;20/6/2019 00:00:00
10303;"JELEC";7;21/6/2019 00:00:00
10304;"CHGRA";1;22/6/2019 00:00:00
10305;"PILED";10;23/6/2019 00:00:00
10306;"LODUR";1;26/6/2019 00:00:00
10307;"CHROU";9;27/6/2019 00:00:00
10308;"MALAZ";7;28/6/2019 00:00:00
10309;"ERSWE";3;2/6/2019 00:00:00
10310;"BEGAL";7;2/6/2019 00:00:00
10311;"MABON";1;2/6/2019 00:00:00
10312;"PAJAL";6;5/6/2019 00:00:00
10313;"ARBLA";5;6/6/2019 00:00:00
10314;"ALCLE";1;7/6/2019 00:00:00
10315;"GAANT";4;8/6/2019 00:00:00
10316;"ALCLE";1;9/6/2019 00:00:00
